                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 2.1164,                 1.1662,                 1.0793,                0.42784,                0.63934,                0.40426,                0.16113,                 2.1818,                 1.7769,                  1.736,               0.002872,               0.002872,               0.002872
                     74,                 2.0233,                 1.1207,                 1.0782,                0.39271,                0.65726,                0.42462,                0.19015,                 1.9864,                 1.6949,                 1.6536,               0.002773,               0.002773,               0.002773
                     75,                 2.1204,                 1.1911,                 1.1023,                0.47583,                0.65574,                0.49575,                0.21178,                 2.0568,                 1.6976,                 1.6579,               0.002674,               0.002674,               0.002674
                     76,                  2.032,                 1.1284,                 1.0598,                0.46863,                0.71311,                0.52017,                0.23207,                 2.0047,                 1.7675,                 1.6326,               0.002575,               0.002575,               0.002575
                     77,                 1.9909,                 1.0885,                 1.0943,                0.46222,                0.71311,                0.50631,                0.21925,                 1.9273,                 1.6541,                 1.6034,               0.002476,               0.002476,               0.002476
                     78,                 2.0827,                 1.1723,                 1.1097,                0.49395,                0.67213,                0.48966,                0.20778,                 1.9507,                 1.6661,                 1.6105,               0.002377,               0.002377,               0.002377
                     79,                 2.0352,                 1.1511,                 1.0708,                0.50698,                0.72951,                 0.5412,                0.25016,                 1.9066,                  1.569,                 1.5917,               0.002278,               0.002278,               0.002278
                     80,                 1.9918,                  1.037,                 1.0728,                0.44641,                0.67213,                0.43694,                0.18865,                 2.0644,                 1.6806,                 1.6439,               0.002179,               0.002179,               0.002179
                     81,                 1.9896,                 1.1153,                 1.0741,                0.49789,                0.70712,                0.54258,                0.25638,                 1.9371,                 1.5839,                 1.6083,                0.00208,                0.00208,                0.00208
                     82,                 2.0103,                 1.0707,                 1.0558,                0.50854,                0.63934,                0.52091,                0.23597,                 1.9518,                 1.6103,                 1.5939,               0.001981,               0.001981,               0.001981
                     83,                 1.9775,                 1.0697,                 1.0637,                0.50361,                0.68033,                0.56231,                0.27376,                 1.9112,                 1.5574,                 1.5785,               0.001882,               0.001882,               0.001882
                     84,                 1.9577,                 1.0492,                 1.0754,                0.56114,                0.59016,                0.53229,                0.25703,                 1.9337,                 1.5922,                  1.585,               0.001783,               0.001783,               0.001783
                     85,                 2.0231,                 1.0852,                 1.0786,                0.50977,                0.66393,                0.55106,                0.26397,                 1.9218,                 1.5704,                 1.5623,               0.001684,               0.001684,               0.001684
                     86,                 1.9806,                 1.0891,                 1.0493,                0.53361,                0.67523,                0.60168,                0.29301,                 1.9115,                 1.6252,                 1.5611,               0.001585,               0.001585,               0.001585
                     87,                 1.9464,                 1.0524,                 1.0327,                0.48627,                 0.7459,                0.57232,                0.27308,                 1.9061,                  1.661,                   1.58,               0.001486,               0.001486,               0.001486
                     88,                 1.9447,                 1.0083,                  1.069,                0.47764,                 0.7541,                0.51278,                0.23652,                 1.9701,                 1.6455,                 1.5947,               0.001387,               0.001387,               0.001387
                     89,                 1.9385,                 1.0538,                 1.0407,                0.50533,                0.68852,                0.54195,                0.27127,                 1.8396,                 1.6223,                 1.5373,               0.001288,               0.001288,               0.001288
                     90,                 1.9515,                 1.0993,                 1.0693,                0.49828,                0.65124,                0.50567,                0.24016,                  1.855,                 1.6091,                 1.5417,               0.001189,               0.001189,               0.001189
                     91,                 1.9499,                 1.0683,                 1.0692,                0.52007,                0.63934,                 0.5022,                0.24549,                 1.8626,                 1.5661,                 1.5327,                0.00109,                0.00109,                0.00109
                     92,                 1.9337,                 1.0459,                 1.1007,                0.49783,                0.65574,                0.51921,                0.24634,                 1.8898,                 1.5678,                 1.5371,               0.000991,               0.000991,               0.000991
                     93,                 1.9664,                 1.0877,                 1.0595,                0.47575,                0.62483,                0.48166,                0.22296,                 1.9325,                 1.6123,                 1.5434,               0.000892,               0.000892,               0.000892
                     94,                 1.8866,                 1.0336,                 1.0917,                0.51434,                0.60656,                0.49884,                0.23699,                 1.8891,                 1.5722,                 1.5333,               0.000793,               0.000793,               0.000793
                     95,                 1.9215,                 1.0448,                 1.0494,                0.50127,                0.67213,                0.51207,                0.23972,                 1.8981,                 1.5499,                 1.5292,               0.000694,               0.000694,               0.000694
                     96,                 1.8819,                 1.0545,                  1.055,                0.53084,                0.68033,                0.51043,                0.23881,                 1.8763,                 1.5283,                  1.517,               0.000595,               0.000595,               0.000595
                     97,                 1.8665,                 1.0079,                 1.0353,                0.53605,                0.65574,                0.50979,                 0.2431,                 1.8808,                 1.5354,                 1.5211,               0.000496,               0.000496,               0.000496
                     98,                 1.9209,                0.98455,                 1.0765,                0.52028,                0.65785,                0.49637,                0.23599,                 1.9071,                 1.5627,                 1.5404,               0.000397,               0.000397,               0.000397
                     99,                  1.874,                0.97762,                 1.0598,                0.49165,                0.68971,                0.49157,                0.23367,                 1.9113,                 1.5637,                 1.5402,               0.000298,               0.000298,               0.000298
